Instâncias;Qtd;FI+2opt;NN+2opt;NI+2opt;CI+2opt;RI+2opt
N=10;80;0.64;0.37;0.45;0.52;0.10
N=15;80;0.66;0.38;0.56;0.59;0.09
N=20;80;0.53;0.18;0.51;0.53;0.12
N=25;80;0.51;0.23;0.53;0.50;0.05
N=50;80;0.18;0.22;0.24;0.14;0.01
N=75;80;0.07;0.10;0.08;0.06;0.00
N=100;80;0.04;0.07;0.04;0.01;0.00
