Instâncias;FI;NN;NI;CI;RI;SPT
N=10;0.04;0.39;0.04;0.00;0.08;3.75
N=15;0.03;0.05;0.11;0.03;0.01;3.66
N=20;0.00;0.11;0.00;0.00;-0.01;4.71
N=25;0.03;0.06;0.03;0.02;-0.00;4.86
N=50;0.01;0.02;0.02;0.01;0.00;4.96
N=75;0.01;0.00;0.00;0.00;0.00;4.37
N=100;0.00;0.00;0.00;0.00;0.00;4.62
