Instâncias;FI;NN;NI;CI;RI
N=10;68.29;726.16;135.46;119.48;34.37
N=15;130.12;1124.08;199.72;155.80;40.88
N=20;166.70;2025.17;214.52;164.20;52.25
N=25;243.78;2811.68;285.82;197.70;52.47
N=50;377.94;5659.72;343.69;165.04;29.71
N=75;370.37;7611.27;306.33;161.45;45.91
N=100;346.83;9810.62;328.04;170.24;48.97
